Review #,Brand,Style,Country,Stars
2580,Burling Library,Biology,Fourth,1.5
2579,JRC room,History,Third,1.5
2578,Grille,Physics,Second,1.5
2577,Noyce lounge,Computer Science,Fourth,1.5
2576,HSSC room,Chemistry,Third,1.5
2575,HSSC lounge,Physics,First,1.5
2574,HSSC room,History,Second,1.5
2573,Courtyard,Physics,Fourth,1.5
2572,Mac Field,Political Science,Second,1.5
2571,HSSC lounge,Computer Science,First,1.5
2570,JRC room,Political Science,Fourth,1.5
2569,Courtyard,Biology,Third,1.5
2568,Courtyard,Sociology,Second,1.5
2567,Mac Field,Economics,Fourth,1.5
2566,Grille,Business,Third,1.5
2565,Grille,Psychology,First,1.5
2564,Noyce lounge,English,Second,1.5
2563,Noyce Science Center room,Philosophy,Fourth,1.5
2562,Burling Library,Mathematics,Second,1.5
2561,JRC room,Biology,First,1.5
2560,Noyce Science Center room,Computer Science,Fourth,1.5
2559,Mac Field,Psychology,Third,1.5
2558,HSSC room,Biology,Second,1.5
2557,HSSC lounge,Economics,Fourth,1.5
2556,Noyce lounge,Political Science,Third,1.5
2555,Courtyard,History,First,1.5
2554,Mac Field,English,Second,1.5
2553,Grille,Philosophy,Fourth,1.5
2552,Noyce Science Center room,Mathematics,Second,1.5
2551,JRC room,Physics,First,1.5
2550,HSSC room,Computer Science,Fourth,1.5
2549,HSSC lounge,Chemistry,Third,1.5
2548,Noyce Science Center room,Economics,Second,1.5
2547,JRC room,Business,Fourth,1.5
2546,Mac Field,English,Third,1.5
2545,Mac Field,Philosophy,First,1.5
2544,HSSC room,Mathematics,Second,1.5
2543,Mac Field,Physics,Fourth,1.5
2542,Grille,Computer Science,Second,1.5
2541,JRC room,Chemistry,First,1.5
2540,Noyce Science Center room,Economics,Fourth,1.5
2539,Mac Field,Business,Third,1.5
2538,Noyce lounge,Psychology,Second,1.5
2537,HSSC room,Biology,Fourth,1.5
2536,HSSC lounge,Sociology,Third,1.5
2535,HSSC room,Economics,First,1.5
2534,Mac Field,Business,Second,1.5
2533,HSSC lounge,Psychology,Fourth,1.5
2532,Mac Field,English,Second,1.5
2531,Mac Field,Philosophy,First,1.5
2530,Noyce lounge,Mathematics,Fourth,1.5
2529,Mac Field,Biology,Third,1.5
2528,Noyce lounge,Computer Science,Second,1.5
2527,Mac Field,Psychology,Fourth,1.5
2526,Burling Library,Biology,Third,1.5
2525,JRC room,Economics,First,1.5
2524,Grille,Political Science,Second,1.5
2523,Noyce lounge,History,Fourth,1.5
2522,HSSC room,English,Second,1.5
2521,HSSC lounge,Philosophy,First,1.5
2520,HSSC room,Mathematics,Fourth,1.5
2519,Courtyard,Physics,Third,1.5
2518,Mac Field,Computer Science,Second,1.5
2517,HSSC lounge,Chemistry,Fourth,1.5
2516,JRC room,Economics,Third,1.5
